text,label,reason
"You know it just hit me that I really wanna draw BLACKPINK. and Bobby and GD, particularky MAMA Good Boy GD who basically kicked me into the hell that is kpop. (read as: I realized I was a disaster bisexual)",Non-hateful.,"The reason for the non-hateful classification of this sentence is that it expresses a personal preference for certain individuals or groups based on their music or appearance. While the term ""bisexual"" is used to describe the individual's sexual orientation, it is not used in a derogatory or insulting manner. The sentence does not contain any explicit reference to stereotypes, group characteristics, slurs, or incitements to hate, violence, or discrimination against any particular group. Overall, the sentence is respectful and does not intend to cause harm or offense to any individual or group based on their sexual orientation or gender identity."
nothing but pride respect and love for my captain korea #YoongiWeLoveYou,Non-hateful.,"Reason for Non-hateful classification: The sentence is expressing positive emotions and admiration for a person, who happens to be the captain of a Korean team. There is no reference to any non-dominant group, stereotype, slur, or incitement of hate or discrimination. The sentence values diversity and promotes inclusivity by showing respect and love for someone regardless of their nationality or ethnicity."
tryna find a girl to have inter-dimensional sex meditation with,Hateful.,"The sentence contains explicit sexual content and objectifies women by reducing them to a means for the speaker's sexual gratification. Additionally, the mention of ""inter-dimensional sex meditation"" may be seen as disrespectful towards spiritual or religious beliefs. Therefore, this sentence could be considered as hateful towards individuals based on their gender and religious beliefs."
"If anyone needs to swallow their pride, it's you. You think you're some top notch bitch when you're just a cunt.",Hateful.,"The sentence contains a direct insult towards an individual by using derogatory terms such as ""cunt"" and ""bitch."" The use of such language towards an individual based on their gender is a form of discrimination and disrespect. This kind of language is intended to cause harm, offense, and humiliation to the target and is therefore classified as hateful."
Should I perform under the name Dino or Ally McReal (will I get sued for performing as an Ally McBeal rip off?),Non-hateful.,"The sentence is non-hateful because it is a harmless and respectful inquiry about choosing a stage name. It does not contain any explicit reference to a non-dominant group through a stereotype, group characteristic, slur, or direct reference to the target group itself, nor does it incite violence, hate, discrimination, or insult towards any group."
Stay strapped like a dyke bitch,Hateful.,"The sentence contains a direct reference to a group based on their sexual orientation and uses a derogatory slur (""dyke"") to describe them. This promotes hate and discrimination towards lesbians and implies that they are violent or aggressive. Therefore, it should be classified as hateful."
"Hey

Bisexuals who prefer partners of one gender = still bisexual
Bisexuals who never have an experience with a different gender = still bisexual
Bisexuals who don't have sex = still bisexual
Prefering to use 'bisexual' over 'pansexual' = perfectly okay

That's that on that",Non-hateful.,"The reason for the non-hateful classification of this sentence is that it is inclusive and accepting of the diverse experiences and preferences of individuals who identify as bisexual or pansexual. The statement promotes understanding and respect for different identities and preferences, without insulting or discriminating against any group."
"Dear beloved allies of the United States of America,

We ask for your continued patience with our babbling buffoon of a wanna-be leader.  We hope the end to be near. He is clearly imploding under pressure.

Both sincerely and gratefully yours,

The American People.",Non-hateful.,"The reason for the non-hateful classification of the sentence is that it is a form of political criticism directed at the leader of the United States of America, but it does not contain any explicit reference to a specific group based on their race, ethnicity, gender, sexual orientation, religion, or any other personal characteristic. The language used is not intended to incite violence, hate, or discrimination, but rather to express frustration and dissatisfaction with the current political situation."
"I'm asexual.

A sexual deviant. :&gt;",Hateful.,"The sentence should be classified as Hateful because it contains an explicit reference to the target group (asexual individuals) through a slur (""sexual deviant"") and an emoticon that suggests hatred or discomfort with the group. The sentence also incites group insult by using derogatory language to shame and stigmatize individuals based on their sexual orientation, which is a form of discrimination and can cause harm or offense to the targeted group."
Dreamed I moved in with Rufus Wainwright. As his lover. Because he was bisexual. Hahahaha.,hateful,The sentence should be classified as hateful because it contains an explicit reference to a person's sexual orientation and reinforces a harmful stereotype that bisexuality is a source of humor or ridicule. This type of language can contribute to the marginalization and discrimination of individuals who identify as bisexual or part of the LGBTQ+ community.
"Hey, Asexual friends. I see you. I love you.",Non-hateful.,"Non-Hateful. The sentence is respectful, considerate, and promotes inclusivity. It acknowledges the existence and worth of asexual individuals and expresses love and support towards them."
"People tell you that you can only be trans if you present as trans (whatever that means), especially if you are femme. #FAABandTrans",Non-hateful.,"Non-hateful. The sentence is discussing the misconceptions and stereotypes surrounding transgender individuals and how society often enforces certain gender norms and expectations. The use of the hashtag #FAABandTrans suggests that the tweet is aimed at raising awareness and promoting inclusivity for individuals who were designated female at birth but identify as transgender. The sentence does not incite violence, hate, or discrimination towards any group or individual, and does not contain any explicit reference to a stereotype or slur."
waver velvet is a trans and gay icon goodnight,hateful,"The sentence should be classified as non-hateful as it does not contain any explicit reference to a stereotype, group characteristic or slur, nor does it incite violence, hate, or discrimination or group insult. It simply acknowledges Waver Velvet as a trans and gay icon, and bids goodnight."
"I hope the girl who stopped me at the street party at Pride because she ""had to get a selfie with Princess Pride"" is truly out there living her BEST life my gay ass still sobs",Non-hateful.,"Non-hateful. While the sentence uses the term ""gay ass"" in a self-referential manner, it is not intended to insult or discriminate against any individual or group. The sentence expresses the author's hope for the happiness of another person and their own emotional response to a past event."
Almost got in a fight with a member at work today he was some 50 year old chicken legged faggot😂,hateful,"The sentence should be classified as hateful because it contains a direct reference to a person's sexual orientation using a derogatory term (""faggot""). The use of this slur is intended to demean and insult the individual based on their sexual orientation, which is a characteristic of a non-dominant group. Additionally, the sentence contains an insult towards the person's physical appearance, which is unrelated to their work performance and is intended to further humiliate and belittle them. The use of violent language (""almost got in a fight"") also contributes to the hateful nature of the sentence."
George Michael was one of the people that made it easier to be gay.,Non-hateful.,"The sentence is non-hateful because it is a positive statement that acknowledges the impact and contribution of George Michael to the acceptance of the LGBTQ+ community. It does not contain any explicit reference to stereotypes, group characteristics, slurs, or insults. It shows respect for individuals based on their sexual orientation and recognizes the importance of diversity and inclusivity."
THE worst when you take a swig out a tinny and get a fag end in ya mouth,hateful,"The sentence does not contain an explicit reference to a non-dominant group based on their sexual identity, gender identity, or sexual orientation. Therefore, the sentence should be classified as non-hateful."
a lesbian vs that straight spice,Hateful.,"Hateful. The sentence contains a direct reference to sexual orientation and uses a derogatory term (""that straight spice"") to refer to individuals who are not lesbian. This implies a negative attitude towards individuals who are not part of the lesbian community and can be considered discriminatory and insulting."
Great new video from @trentowers &amp; @BoyShayler best bit @Mumshayler 's describing the term 'bottom' #hilarious #youtube #lgbt,Non-hateful.,"Non-hateful: The sentence is promoting a new video from two individuals and their content. It also includes a hashtag related to the LGBT community. There is no explicit reference to any stereotype, slur, insult, or incitement of hate or discrimination towards any individual or group based on their sexual orientation or gender identity. The sentence is merely expressing excitement and enjoyment of the video, which includes a description of a term related to the LGBT community."
straight allies are appreciatated but also exhausting,Non-hateful.,"The sentence does not contain any explicit reference to a non-dominant group through a stereotype, group characteristic, slur, or direct reference to the target group itself. It also does not incite violence, hate, or discrimination or insult a group. The sentence expresses a personal opinion about the efforts of straight allies in supporting the LGBTQ+ community, but it does not use language or behavior that may cause harm or offense to individuals or groups based on their sexual orientation or any other personal characteristic. Therefore, the sentence is classified as non-hateful."
lol but it's ok to say we're going to hell if we're gay and are sinning bc we're in bathing suits oh ok👌👌👌👌👌👌,hateful.,"The sentence is classified as hateful because it contains a homophobic stereotype that suggests that being gay is a sin and that individuals who are gay are going to hell. It also contains an implied message that it is acceptable to discriminate against and insult individuals who identify as LGBTQ+ based on their sexual orientation or gender identity. The use of the ""ok"" hand sign emoji at the end of the sentence further reinforces the dismissive and derogatory tone of the message."
